alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,lower_divide_by_n,method,status,error
0.001,0.01,0.001,0.001,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.07086272863671,0.0,1.0,False,SG,ok,
0.001,0.01,0.001,0.1,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.07967492286116,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.001,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.973823758773506,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.01,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.922701738309115,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.1,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.8705202084966,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.01,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.01783756026998,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.1,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.17194645991549,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.001,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.280882120132446,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.001,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,37.914216302800924,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.1,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.11559235304594,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.01,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.40088652819395,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.001,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,37.85439185705036,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.01,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.061490715947,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.1,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,37.81228689244017,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.001,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.12421441543847,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.01,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.014440161176026,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.1,1000.0,1.0,0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,38.025753813795745,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.01,1000.0,1.0,0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,37.812876666896045,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.001,1000.0,1.0,0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,38.101405658293515,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.1,1000.0,1.0,0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,38.22840658668429,0.0,1.0,False,SG,ok,
0.001,0.001,0.1,0.01,1000.0,1.0,0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,37.90271317726001,0.0,1.0,False,SG,ok,
0.001,0.001,0.1,0.001,1000.0,1.0,0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,38.15493887430057,0.0,1.0,False,SG,ok,
