alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.0001,0.001,0.0001,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.290380530059338,0.0,SG,ok,
0.001,0.0001,0.001,0.001,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.34817226231098,0.0,SG,ok,
0.001,0.0001,0.001,0.01,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.77399391401559,0.0,SG,ok,
0.001,0.001,0.001,0.0001,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.609330048784614,0.0,SG,ok,
0.001,0.001,0.001,0.001,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,19.50421603024006,0.0,SG,ok,
0.001,0.001,0.001,0.01,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.332916259765625,0.0,48.21127539873123,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,19.018893588334322,0.0,SG,ok,
0.001,0.0001,0.001,0.0001,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.005074981600046,0.0,SG,ok,
0.001,0.0001,0.001,0.001,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.370654522441328,0.0,SG,ok,
0.001,0.0001,0.001,0.01,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63896942138672,0.0,66.83260095119476,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.31408628821373,0.0,SG,ok,
0.001,0.001,0.001,0.0001,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.509738092310727,0.0,SG,ok,
0.001,0.001,0.001,0.001,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.883742110803723,0.0,SG,ok,
0.001,0.001,0.001,0.01,30.0,1.0,10,1,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,1.1936315298080444,0.0,0.02378397062420845,0.0,1.1698476076126099,0.0,65.63806915283203,0.0,66.83170068264008,0.0,0.8721052408218384,0.0,0.02378397062420845,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,19.241291460581124,0.0,SG,ok,
0.001,0.0001,0.01,0.0001,30.0,1.0,10,1,1.1938048601150513,0.0,0.023798951879143715,0.0,1.1700059175491333,0.0,65.6636962890625,0.0,66.85750114917755,0.0,1.1938048601150513,0.0,0.023798951879143715,0.0,1.1700059175491333,0.0,65.6636962890625,0.0,66.85750114917755,0.0,0.8721052408218384,0.0,0.023798951879143715,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.361179356463253,0.0,SG,ok,
0.001,0.0001,0.01,0.001,30.0,1.0,10,1,1.1938048601150513,0.0,0.023798951879143715,0.0,1.1700059175491333,0.0,65.6636962890625,0.0,66.85750114917755,0.0,1.1938048601150513,0.0,0.023798951879143715,0.0,1.1700059175491333,0.0,65.6636962890625,0.0,66.85750114917755,0.0,0.8721052408218384,0.0,0.023798951879143715,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.46245974395424,0.0,SG,ok,
