alpha,xi,sigma,beta,gamma0,threshold_scale,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.1,0.001,0.1,1000.0,1.0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,7.8786270674318075,0.0,SG,ok,
0.001,0.0001,0.01,0.001,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.957908685319126,0.0,SG,ok,
0.001,0.0001,0.01,0.01,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.986110136844218,0.0,SG,ok,
0.001,0.0001,0.01,0.1,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.956039500422776,0.0,SG,ok,
0.001,0.001,0.01,0.001,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.932355307042599,0.0,SG,ok,
0.001,0.001,0.01,0.01,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.949457194656134,0.0,SG,ok,
0.001,0.001,0.01,0.1,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.959609434008598,0.0,SG,ok,
0.001,0.01,0.01,0.001,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.938302246853709,0.0,SG,ok,
0.001,0.01,0.01,0.01,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.899185269139707,0.0,SG,ok,
0.001,0.01,0.01,0.1,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.939827457070351,0.0,SG,ok,
0.001,0.1,0.01,0.001,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.945969063788652,0.0,SG,ok,
0.001,0.1,0.01,0.01,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.912709565833211,0.0,SG,ok,
0.001,0.1,0.01,0.1,1000.0,1.0,1,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,2.2088100910186768,0.0,0.5852937698364258,0.0,0.35477420687675476,0.0,0.2305195927619934,0.0,1.623516321182251,0.0,7.904515068046749,0.0,SG,ok,
0.001,0.0001,0.1,0.001,1000.0,1.0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,7.961476285010576,0.0,SG,ok,
0.001,0.0001,0.1,0.01,1000.0,1.0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,7.948093292303383,0.0,SG,ok,
0.001,0.0001,0.1,0.1,1000.0,1.0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,7.928585654124618,0.0,SG,ok,
0.001,0.001,0.1,0.001,1000.0,1.0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,7.9420018726959825,0.0,SG,ok,
0.001,0.001,0.1,0.01,1000.0,1.0,1,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,2.208819627761841,0.0,0.5853021144866943,0.0,0.35478106141090393,0.0,0.23052102327346802,0.0,1.6235175132751465,0.0,7.921107050962746,0.0,SG,ok,
