alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.001,0.01,0.001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,439.2391294473782,0.0,1.0,SG,ok,
0.001,0.001,0.01,0.01,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,434.47960031731054,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.0001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,422.89807553961873,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,427.08388372370973,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.01,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,437.30295957345515,0.0,1.0,SG,ok,
0.001,0.001,0.01,0.0001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,442.2893843287602,0.0,1.0,SG,ok,
0.001,0.001,0.01,0.001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,440.6121815731749,0.0,1.0,SG,ok,
0.001,0.001,0.01,0.01,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,435.09142720745876,0.0,1.0,SG,ok,
0.001,0.0001,0.001,0.01,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,417.03708807751536,0.0,1.0,SG,ok,
0.001,0.0001,0.001,0.001,100.0,1.0,10,1,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8783591389656067,0.0,0.01884716935455799,0.0,0.8595119714736938,0.0,47.33381652832031,0.0,48.21217566728592,0.0,0.8721052408218384,0.0,0.01884716935455799,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,417.32671948801726,0.0,1.0,SG,ok,
