alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.1,0.01,0.01,0.01,0.0001,100.0,0.0,False,1,0.7342882752418518,0.0,0.0006688451976515353,0.0,0.7336194515228271,0.0,1.6841635704040527,0.0,2.4184518456459045,0.0,0.7342882752418518,0.0,0.0006688451976515353,0.0,0.7336194515228271,0.0,1.6841635704040527,0.0,2.4184518456459045,0.0,0.7342882752418518,0.0,0.0006688451976515353,0.0,0.3714917302131653,0.0,1.6841635704040527,0.0,10.933112834580243,0.0,PD,ok,
0.001,0.1,0.01,0.001,0.01,0.0001,100.0,0.0,False,1,0.7343035340309143,0.0,0.0006700141821056604,0.0,0.7336335182189941,0.0,1.6841877698898315,0.0,2.418491303920746,0.0,0.7343035340309143,0.0,0.0006700141821056604,0.0,0.7336335182189941,0.0,1.6841877698898315,0.0,2.418491303920746,0.0,0.7343035340309143,0.0,0.0006700141821056604,0.0,0.3714917302131653,0.0,1.6841877698898315,0.0,10.662551671266556,0.0,PD,ok,
0.001,0.1,0.001,0.01,0.01,0.0001,100.0,0.0,False,1,0.7343016862869263,0.0,0.0006704769330099225,0.0,0.7336311936378479,0.0,1.6841835975646973,0.0,2.4184852838516235,0.0,0.7343016862869263,0.0,0.0006704769330099225,0.0,0.7336311936378479,0.0,1.6841835975646973,0.0,2.4184852838516235,0.0,0.7343016862869263,0.0,0.0006704769330099225,0.0,0.3714917302131653,0.0,1.6841835975646973,0.0,10.9297757120803,0.0,PD,ok,
0.001,0.1,0.001,0.001,0.01,0.0001,100.0,0.0,False,1,0.7343181371688843,0.0,0.0006717584910802543,0.0,0.7336463928222656,0.0,1.6842092275619507,0.0,2.418527364730835,0.0,0.7343181371688843,0.0,0.0006717584910802543,0.0,0.7336463928222656,0.0,1.6842092275619507,0.0,2.418527364730835,0.0,0.7343181371688843,0.0,0.0006717584910802543,0.0,0.3714917302131653,0.0,1.6842092275619507,0.0,10.915910271927714,0.0,PD,ok,
0.001,0.01,0.01,0.01,0.01,0.0001,100.0,0.0,False,1,0.7344403266906738,0.0,0.0006773966597393155,0.0,0.7337629199028015,0.0,1.6843929290771484,0.0,2.4188332557678223,0.0,0.7344403266906738,0.0,0.0006773966597393155,0.0,0.7337629199028015,0.0,1.6843929290771484,0.0,2.4188332557678223,0.0,0.7344403266906738,0.0,0.0006773966597393155,0.0,0.3714917302131653,0.0,1.6843929290771484,0.0,10.791803540661931,0.0,PD,ok,
0.001,0.001,0.01,0.01,0.01,0.0001,100.0,0.0,False,1,0.734456479549408,0.0,0.0006782562122680247,0.0,0.7337782382965088,0.0,1.6844151020050049,0.0,2.418871581554413,0.0,0.734456479549408,0.0,0.0006782562122680247,0.0,0.7337782382965088,0.0,1.6844151020050049,0.0,2.418871581554413,0.0,0.734456479549408,0.0,0.0006782562122680247,0.0,0.3714917302131653,0.0,1.6844151020050049,0.0,10.751377721317112,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.01,0.0001,100.0,0.0,False,1,0.7344584465026855,0.0,0.0006783463759347796,0.0,0.7337800860404968,0.0,1.684417486190796,0.0,2.4188759326934814,0.0,0.7344584465026855,0.0,0.0006783463759347796,0.0,0.7337800860404968,0.0,1.684417486190796,0.0,2.4188759326934814,0.0,0.7344584465026855,0.0,0.0006783463759347796,0.0,0.3714917302131653,0.0,1.684417486190796,0.0,10.573758017271757,0.0,PD,ok,
0.001,0.01,0.01,0.001,0.01,0.0001,100.0,0.0,False,1,0.7344576716423035,0.0,0.0006785918958485126,0.0,0.7337790727615356,0.0,1.684415578842163,0.0,2.4188732504844666,0.0,0.7344576716423035,0.0,0.0006785918958485126,0.0,0.7337790727615356,0.0,1.684415578842163,0.0,2.4188732504844666,0.0,0.7344576716423035,0.0,0.0006785918958485126,0.0,0.3714917302131653,0.0,1.684415578842163,0.0,10.963717981241643,0.0,PD,ok,
0.001,0.001,0.01,0.001,0.01,0.0001,100.0,0.0,False,1,0.7344743609428406,0.0,0.0006794583750888705,0.0,0.7337949275970459,0.0,1.684437870979309,0.0,2.4189122319221497,0.0,0.7344743609428406,0.0,0.0006794583750888705,0.0,0.7337949275970459,0.0,1.684437870979309,0.0,2.4189122319221497,0.0,0.7344743609428406,0.0,0.0006794583750888705,0.0,0.3714917302131653,0.0,1.684437870979309,0.0,10.634239541366696,0.0,PD,ok,
0.001,0.0001,0.01,0.001,0.01,0.0001,100.0,0.0,False,1,0.7344760894775391,0.0,0.0006795547087676823,0.0,0.7337965369224548,0.0,1.6844401359558105,0.0,2.4189162254333496,0.0,0.7344760894775391,0.0,0.0006795547087676823,0.0,0.7337965369224548,0.0,1.6844401359558105,0.0,2.4189162254333496,0.0,0.7344760894775391,0.0,0.0006795547087676823,0.0,0.3714917302131653,0.0,1.6844401359558105,0.0,10.61515629477799,0.0,PD,ok,
